onset	duration	sample	type	value
36.9641466441254	0	36966	Markers	Experiment start
36.9711464825269	0	36973	Markers	BL start
39.8710795345481	0	39873	Markers	Trial start
41.6760378652027	0	41678	Markers	BP
42.1780262762767	0	42180	Markers	BL start
45.8769408829754	0	45879	Markers	Trial start
46.4199283475435	0	46422	Markers	BP
46.9199168047886	0	46922	Markers	BL start
56.6196928753423	0	56622	Markers	Trial start
57.0926819558961	0	57095	Markers	BP
57.5936703900556	0	57596	Markers	BL start
61.9925688368974	0	61995	Markers	Trial start
62.3005617265603	0	62303	Markers	BP
62.8015501607199	0	62804	Markers	BL start
67.5014416588232	0	67504	Markers	Trial start
67.7514358874457	0	67754	Markers	BP
68.2524243216052	0	68255	Markers	BL start
72.6513227684471	0	72654	Markers	Trial start
72.9323162814188	0	72935	Markers	BP
73.4333047155783	0	73436	Markers	BL start
78.6321846940122	0	78635	Markers	Trial start
78.8901787379506	0	78893	Markers	BP
79.3911671721101	0	79394	Markers	BL start
84.490049459095	0	84493	Markers	Trial start
84.7750428797247	0	84778	Markers	BP
95.1968022825402	0	95200	Markers	Experiment start
95.2048020978561	0	95208	Markers	BL start
104.505587379528	0	104509	Markers	Trial start
104.840579645882	0	104844	Markers	BP
105.341568080042	0	105345	Markers	BL start
111.840418047313	0	111844	Markers	Trial start
112.138411167831	0	112142	Markers	BP
112.63939960199	0	112643	Markers	BL start
117.139295717196	0	117143	Markers	Trial start
117.576285628828	0	117580	Markers	BP
118.077274062987	0	118081	Markers	BL start
122.276177126931	0	122280	Markers	Trial start
122.666168123582	0	122670	Markers	BP
123.167156557742	0	123171	Markers	BL start
129.466011142115	0	129470	Markers	Trial start
129.777003962521	0	129781	Markers	BP
130.277992396681	0	130282	Markers	BL start
135.476872375115	0	135481	Markers	Trial start
135.759865841915	0	135764	Markers	BP
136.260854276075	0	136265	Markers	BL start
143.860678826199	0	143865	Markers	Trial start
144.19267116181	0	144197	Markers	BP
144.69365959597	0	144698	Markers	BL start
154.193440283625	0	154198	Markers	Trial start
154.512432919348	0	154517	Markers	BP
155.013421353507	0	155018	Markers	BL start
163.514225103587	0	163519	Markers	Trial start
163.831217785481	0	163836	Markers	BP
164.331206242726	0	164336	Markers	BL start
166.432157740069	0	166437	Markers	Trial start
166.841148298096	0	166846	Markers	BP
167.342136732255	0	167347	Markers	BL start
173.94198436789	0	173947	Markers	Trial start
174.246977326809	0	174252	Markers	BP
174.747965760969	0	174753	Markers	BL start
182.047797236746	0	182053	Markers	Trial start
182.447788002542	0	182453	Markers	BP
182.948776436702	0	182954	Markers	BL start
190.14861022103	0	190154	Markers	Trial start
190.48260251047	0	190488	Markers	BP
190.982590967715	0	190988	Markers	BL start
197.682436294798	0	197688	Markers	Trial start
198.02342842264	0	198029	Markers	BP
198.525416833714	0	198531	Markers	BL start
203.124310663453	0	203130	Markers	Trial start
203.450303137577	0	203456	Markers	BP
203.951291571737	0	203957	Markers	BL start
206.451233857962	0	206457	Markers	Trial start
206.815225454836	0	206821	Markers	BP
207.316213888996	0	207322	Markers	BL start
211.015128495695	0	211021	Markers	Trial start
211.324121362272	0	211330	Markers	BP
211.825109796432	0	211831	Markers	BL start
217.724973591923	0	217731	Markers	Trial start
218.057965904448	0	218064	Markers	BP
218.557954361693	0	218564	Markers	BL start
221.457887413714	0	221464	Markers	Trial start
221.77987998018	0	221786	Markers	BP
222.279868437425	0	222286	Markers	BL start
227.679743775672	0	227686	Markers	Trial start
228.147732971653	0	228154	Markers	BP
228.647721428898	0	228654	Markers	BL start
233.747603692797	0	233754	Markers	Trial start
234.056596559375	0	234063	Markers	BP
234.557584993534	0	234564	Markers	BL start
238.257499577148	0	238264	Markers	Trial start
238.688489627293	0	238695	Markers	BP
239.189478061452	0	239196	Markers	BL start
245.789325697087	0	245796	Markers	Trial start
246.174316809165	0	246181	Markers	BP
246.675305243325	0	246682	Markers	BL start
254.174132125086	0	254181	Markers	Trial start
254.535123791217	0	254542	Markers	BP
255.036112225376	0	255043	Markers	BL start
264.234899861771	0	264242	Markers	Trial start
264.610891181619	0	264618	Markers	BP
265.111879615778	0	265119	Markers	BL start
272.411711091556	0	272419	Markers	Trial start
272.763702965456	0	272771	Markers	BP
273.264691399616	0	273272	Markers	BL start
278.663566760948	0	278671	Markers	Trial start
278.985559327414	0	278993	Markers	BP
279.486547761573	0	279494	Markers	BL start
286.285390803191	0	286293	Markers	Trial start
286.714380899507	0	286722	Markers	BP
287.215369333667	0	287223	Markers	BL start
296.314159278612	0	296322	Markers	Trial start
296.748149259501	0	296756	Markers	BP
297.24913769366	0	297257	Markers	BL start
306.948913764214	0	306957	Markers	Trial start
307.264906469193	0	307273	Markers	BP
307.764894926438	0	307773	Markers	BL start
317.06568020811	0	317074	Markers	Trial start
317.407672312866	0	317416	Markers	BP
317.907660770111	0	317916	Markers	BL start
327.507439149215	0	327516	Markers	Trial start
327.795432500588	0	327804	Markers	BP
328.296420934748	0	328305	Markers	BL start
332.396326284157	0	332405	Markers	Trial start
332.788317234637	0	332797	Markers	BP
333.289305668797	0	333298	Markers	BL start
337.688204115639	0	337697	Markers	Trial start
338.031196197309	0	338040	Markers	BP
338.532184631468	0	338541	Markers	BL start
343.832062278266	0	343841	Markers	Trial start
344.201053759713	0	344210	Markers	BP
344.701042216958	0	344710	Markers	BL start
349.400933715061	0	349410	Markers	Trial start
349.822923972976	0	349832	Markers	BP
350.322912430221	0	350332	Markers	BL start
