onset	duration	sample	type	value
42.8429821824988	0	42845	Markers	Experiment start
42.8489820399607	0	42851	Markers	BL start
50.5507990684736	0	50553	Markers	Trial start
50.8417921553727	0	50844	Markers	BP
51.3427802534362	0	51345	Markers	BL start
59.0425973294618	0	59045	Markers	Trial start
59.3035911290518	0	59306	Markers	BP
59.8065791796025	0	59809	Markers	BL start
65.0064556465289	0	65009	Markers	Trial start
65.3164482820572	0	65319	Markers	BP
65.8174363801207	0	65820	Markers	BL start
68.4173746135839	0	68420	Markers	Trial start
68.7403669402795	0	68743	Markers	BP
69.2423550145866	0	69245	Markers	BL start
78.2421412073438	0	78245	Markers	Trial start
78.5381341754612	0	78541	Markers	BP
79.0391222735247	0	79042	Markers	BL start
84.538991613543	0	84542	Markers	Trial start
84.8259847954675	0	84829	Markers	BP
85.3309727985056	0	85334	Markers	BL start
90.0308611436121	0	90034	Markers	Trial start
90.3128544443185	0	90316	Markers	BP
90.813842542382	0	90817	Markers	BL start
99.314640589563	0	99318	Markers	Trial start
99.6136334864113	0	99617	Markers	BP
108.373425380695	0	108377	Markers	Experiment start
108.382425166888	0	108386	Markers	BL start
117.283213711525	0	117287	Markers	Trial start
117.633205396798	0	117637	Markers	BP
118.134193494862	0	118138	Markers	BL start
124.735036679128	0	124739	Markers	Trial start
125.022029861052	0	125026	Markers	BP
125.524017935359	0	125528	Markers	BL start
129.423925285554	0	129428	Markers	Trial start
129.690918942606	0	129695	Markers	BP
130.200906826862	0	130205	Markers	BL start
137.901723879131	0	137906	Markers	Trial start
138.164717631209	0	138169	Markers	BP
138.666705705516	0	138671	Markers	BL start
142.166622558255	0	142171	Markers	Trial start
142.465615455103	0	142470	Markers	BP
142.966603553166	0	142971	Markers	BL start
147.666491898273	0	147671	Markers	Trial start
147.934485531568	0	147939	Markers	BP
148.44047351085	0	148445	Markers	BL start
153.840345226504	0	153845	Markers	Trial start
154.117338645993	0	154122	Markers	BP
154.6193267203	0	154624	Markers	BL start
163.120124767481	0	163125	Markers	Trial start
163.439117189202	0	163444	Markers	BP
163.942105239752	0	163947	Markers	BL start
171.541924691414	0	171547	Markers	Trial start
171.855917231917	0	171861	Markers	BP
172.358905282468	0	172364	Markers	BL start
176.857798402603	0	176863	Markers	Trial start
177.172790919349	0	177178	Markers	BP
177.674778993656	0	177680	Markers	BL start
185.374596069682	0	185380	Markers	Trial start
185.776586519625	0	185782	Markers	BP
186.278574593932	0	186284	Markers	BL start
194.578377416142	0	194584	Markers	Trial start
194.956368436237	0	194962	Markers	BP
195.458356510545	0	195464	Markers	BL start
199.958249606923	0	199964	Markers	Trial start
200.407238940317	0	200413	Markers	BP
200.908227038381	0	200914	Markers	BL start
208.408048865679	0	208414	Markers	Trial start
208.709041715014	0	208715	Markers	BP
209.209029836834	0	209215	Markers	BL start
216.808849288496	0	216815	Markers	Trial start
217.114842019049	0	217121	Markers	BP
217.615830117113	0	217622	Markers	BL start
223.015701832767	0	223022	Markers	Trial start
223.315694705859	0	223322	Markers	BP
223.816682803923	0	223823	Markers	BL start
