onset	duration	sample	type	value
29.080318374067	0	29082	Markers	Experiment start
29.0863182334338	0	29088	Markers	BL start
36.8861354102064	0	36888	Markers	Trial start
37.2961258002675	0	37298	Markers	BP
37.7971140573909	0	37799	Markers	BL start
42.0970132702271	0	42099	Markers	Trial start
42.5390029102442	0	42541	Markers	BP
43.0389911908066	0	43041	Markers	BL start
46.4389114986305	0	46441	Markers	Trial start
46.8789011855254	0	46881	Markers	BP
47.3798894426488	0	47382	Markers	BL start
56.2806808132197	0	56283	Markers	Trial start
56.6836713673529	0	56686	Markers	BP
57.1846596244764	0	57187	Markers	BL start
64.8844791451365	0	64887	Markers	Trial start
65.3784675663321	0	65381	Markers	BP
65.8784558468944	0	65881	Markers	BL start
75.2792354980276	0	75282	Markers	Trial start
75.5862283022929	0	75589	Markers	BP
76.0872165594164	0	76090	Markers	BL start
83.7860361035153	0	83789	Markers	Trial start
84.37702225114	0	84380	Markers	BP
84.8780105082635	0	84881	Markers	BL start
94.577783151173	0	94581	Markers	Trial start
94.9137752757108	0	94917	Markers	BP
101.707616031992	0	101711	Markers	Experiment start
101.71461586792	0	101718	Markers	BL start
111.215393175166	0	111219	Markers	Trial start
111.660382744866	0	111664	Markers	BP
112.161371001989	0	112165	Markers	BL start
118.161230368738	0	118165	Markers	Trial start
118.52822176667	0	118532	Markers	BP
119.030210000355	0	119034	Markers	BL start
123.629102204967	0	123633	Markers	Trial start
124.091091376207	0	124095	Markers	BP
124.59207963333	0	124596	Markers	BL start
133.690866363004	0	133695	Markers	Trial start
134.034858300031	0	134039	Markers	BP
134.535846557154	0	134540	Markers	BL start
137.334780951742	0	137339	Markers	Trial start
137.728771716825	0	137733	Markers	BP
138.229759973949	0	138234	Markers	BL start
147.929532616858	0	147934	Markers	Trial start
148.360522514703	0	148365	Markers	BP
148.861510771827	0	148866	Markers	BL start
157.861299821949	0	157866	Markers	Trial start
158.311289274455	0	158316	Markers	BP
158.812277531578	0	158817	Markers	BL start
168.213057182712	0	168218	Markers	Trial start
168.624047549334	0	168629	Markers	BP
169.125035806457	0	169130	Markers	BL start
176.92485298323	0	176930	Markers	Trial start
177.240845576545	0	177246	Markers	BP
177.741833833669	0	177747	Markers	BL start
183.341702575967	0	183347	Markers	Trial start
183.775692403495	0	183781	Markers	BP
184.276680660619	0	184282	Markers	BL start
190.275540050806	0	190281	Markers	Trial start
190.747528987656	0	190753	Markers	BP
191.24851724478	0	191254	Markers	BL start
198.348350828765	0	198354	Markers	Trial start
198.782340656293	0	198788	Markers	BP
199.282328936856	0	199288	Markers	BL start
202.382256276342	0	202388	Markers	Trial start
202.830245775726	0	202836	Markers	BP
203.331234032849	0	203337	Markers	BL start
205.930173115213	0	205936	Markers	Trial start
206.305164325634	0	206311	Markers	BP
206.807152559319	0	206813	Markers	BL start
211.70703770883	0	211713	Markers	Trial start
212.031030114634	0	212037	Markers	BP
212.532018371758	0	212538	Markers	BL start
221.53180742188	0	221538	Markers	Trial start
221.799801140261	0	221806	Markers	BP
222.300789397385	0	222307	Markers	BL start
227.199674570335	0	227206	Markers	Trial start
227.697662897775	0	227704	Markers	BP
228.197651178337	0	228204	Markers	BL start
234.697498825648	0	234704	Markers	Trial start
235.113489075075	0	235120	Markers	BP
235.614477332199	0	235621	Markers	BL start
239.914376545035	0	239921	Markers	Trial start
240.36336602098	0	240370	Markers	BP
240.864354278104	0	240871	Markers	BL start
243.16430036869	0	243171	Markers	Trial start
243.696287899209	0	243703	Markers	BP
244.197276156332	0	244204	Markers	BL start
248.497175369168	0	248504	Markers	Trial start
248.967164352897	0	248974	Markers	BP
249.46815261002	0	249475	Markers	BL start
254.36703778297	0	254374	Markers	Trial start
254.703029907508	0	254710	Markers	BP
255.204018164632	0	255211	Markers	BL start
264.202807238193	0	264210	Markers	Trial start
264.528799597119	0	264536	Markers	BP
265.029787854243	0	265037	Markers	BL start
268.228712873281	0	268236	Markers	Trial start
268.591704364969	0	268599	Markers	BP
269.091692645531	0	269099	Markers	BL start
272.69160826558	0	272699	Markers	Trial start
273.042600038535	0	273050	Markers	BP
273.543588295658	0	273551	Markers	BL start
282.743372658005	0	282751	Markers	Trial start
283.083364688788	0	283091	Markers	BP
283.585352922472	0	283593	Markers	BL start
286.684280285398	0	286692	Markers	Trial start
287.083270933287	0	287091	Markers	BP
287.58425919041	0	287592	Markers	BL start
296.284055272195	0	296292	Markers	Trial start
296.673046154472	0	296681	Markers	BP
297.174034411596	0	297182	Markers	BL start
306.074825782167	0	306083	Markers	Trial start
306.429817461366	0	306438	Markers	BP
306.930805718489	0	306939	Markers	BL start
309.330749465189	0	309339	Markers	Trial start
309.741739831811	0	309750	Markers	BP
310.242728088934	0	310251	Markers	BL start
315.842596831233	0	315851	Markers	Trial start
316.366584549262	0	316375	Markers	BP
316.867572806385	0	316876	Markers	BL start
320.267493114209	0	320276	Markers	Trial start
320.762481511966	0	320771	Markers	BP
321.26346976909	0	321272	Markers	BL start
330.96424238856	0	330973	Markers	Trial start
331.463230692561	0	331472	Markers	BP
331.964218949685	0	331973	Markers	BL start
337.464090035871	0	337473	Markers	Trial start
337.894079957154	0	337903	Markers	BP
338.395068214278	0	338404	Markers	BL start
345.393904165589	0	345403	Markers	Trial start
345.816894250945	0	345826	Markers	BP
346.317882508069	0	346327	Markers	BL start
354.017702028729	0	354027	Markers	Trial start
354.455691762501	0	354465	Markers	BP
354.956680019625	0	354966	Markers	BL start
357.355623789763	0	357365	Markers	Trial start
357.823612820369	0	357833	Markers	BP
358.324601077493	0	358334	Markers	BL start
368.124371376515	0	368134	Markers	Trial start
368.406364766752	0	368416	Markers	BP
368.907353023875	0	368917	Markers	BL start
376.206181943524	0	376216	Markers	Trial start
376.572173364896	0	376582	Markers	BP
377.073161622019	0	377083	Markers	BL start
385.373967055916	0	385384	Markers	Trial start
385.898954750506	0	385909	Markers	BP
386.398943031068	0	386409	Markers	BL start
394.498753176178	0	394509	Markers	Trial start
394.994741550496	0	395005	Markers	BP
395.49572980762	0	395506	Markers	BL start
398.895650115444	0	398906	Markers	Trial start
399.376638841345	0	399387	Markers	BP
399.877627098468	0	399888	Markers	BL start
407.577446619128	0	407588	Markers	Trial start
407.918438626472	0	407929	Markers	BP
408.419426883595	0	408430	Markers	BL start
417.220220598053	0	417231	Markers	Trial start
417.62621108187	0	417637	Markers	BP
418.128199315555	0	418139	Markers	BL start
427.527978990127	0	427539	Markers	Trial start
428.000967903539	0	428012	Markers	BP
