name	type	units	sampling_frequency
BrainVision RDA_1	EEG	microvolts	1000.02417960521
BrainVision RDA_2	EEG	microvolts	1000.02417960521
BrainVision RDA_3	EEG	microvolts	1000.02417960521
BrainVision RDA_4	EEG	microvolts	1000.02417960521
BrainVision RDA_5	EEG	microvolts	1000.02417960521
BrainVision RDA_6	EEG	microvolts	1000.02417960521
BrainVision RDA_7	EEG	microvolts	1000.02417960521
BrainVision RDA_8	EEG	microvolts	1000.02417960521
BrainVision RDA_9	EEG	microvolts	1000.02417960521
BrainVision RDA_10	EEG	microvolts	1000.02417960521
BrainVision RDA_11	EEG	microvolts	1000.02417960521
BrainVision RDA_12	EEG	microvolts	1000.02417960521
BrainVision RDA_13	EEG	microvolts	1000.02417960521
BrainVision RDA_14	EEG	microvolts	1000.02417960521
BrainVision RDA_15	EEG	microvolts	1000.02417960521
BrainVision RDA_16	EEG	microvolts	1000.02417960521
BrainVision RDA_17	EEG	microvolts	1000.02417960521
BrainVision RDA_18	EEG	microvolts	1000.02417960521
BrainVision RDA_19	EEG	microvolts	1000.02417960521
BrainVision RDA_21	EEG	microvolts	1000.02417960521
BrainVision RDA_22	EEG	microvolts	1000.02417960521
BrainVision RDA_23	EEG	microvolts	1000.02417960521
BrainVision RDA_24	EEG	microvolts	1000.02417960521
BrainVision RDA_25	EEG	microvolts	1000.02417960521
BrainVision RDA_26	EEG	microvolts	1000.02417960521
BrainVision RDA_27	EEG	microvolts	1000.02417960521
BrainVision RDA_28	EEG	microvolts	1000.02417960521
BrainVision RDA_29	EEG	microvolts	1000.02417960521
BrainVision RDA_30	EEG	microvolts	1000.02417960521
BrainVision RDA_31	EEG	microvolts	1000.02417960521
BrainVision RDA_32	EEG	microvolts	1000.02417960521
BrainVision RDA_33	EEG	microvolts	1000.02417960521
BrainVision RDA_34	EEG	microvolts	1000.02417960521
BrainVision RDA_35	EEG	microvolts	1000.02417960521
BrainVision RDA_36	EEG	microvolts	1000.02417960521
BrainVision RDA_37	EEG	microvolts	1000.02417960521
BrainVision RDA_38	EEG	microvolts	1000.02417960521
BrainVision RDA_39	EEG	microvolts	1000.02417960521
BrainVision RDA_40	EEG	microvolts	1000.02417960521
BrainVision RDA_41	EEG	microvolts	1000.02417960521
BrainVision RDA_42	EEG	microvolts	1000.02417960521
BrainVision RDA_43	EEG	microvolts	1000.02417960521
BrainVision RDA_44	EEG	microvolts	1000.02417960521
BrainVision RDA_45	EEG	microvolts	1000.02417960521
BrainVision RDA_46	EEG	microvolts	1000.02417960521
BrainVision RDA_47	EEG	microvolts	1000.02417960521
BrainVision RDA_48	EEG	microvolts	1000.02417960521
BrainVision RDA_49	EEG	microvolts	1000.02417960521
BrainVision RDA_50	EEG	microvolts	1000.02417960521
BrainVision RDA_51	EEG	microvolts	1000.02417960521
BrainVision RDA_52	EEG	microvolts	1000.02417960521
BrainVision RDA_53	EEG	microvolts	1000.02417960521
BrainVision RDA_54	EEG	microvolts	1000.02417960521
BrainVision RDA_55	EEG	microvolts	1000.02417960521
BrainVision RDA_56	EEG	microvolts	1000.02417960521
BrainVision RDA_57	EEG	microvolts	1000.02417960521
BrainVision RDA_58	EEG	microvolts	1000.02417960521
BrainVision RDA_59	EEG	microvolts	1000.02417960521
BrainVision RDA_60	EEG	microvolts	1000.02417960521
BrainVision RDA_61	EEG	microvolts	1000.02417960521
BrainVision RDA_62	EEG	microvolts	1000.02417960521
BrainVision RDA_63	EEG	microvolts	1000.02417960521
BrainVision RDA_64	EEG	microvolts	1000.02417960521
BrainVision RDA_65	EEG	microvolts	1000.02417960521
BrainVision RDA_66	EEG	microvolts	1000.02417960521
BrainVision RDA_67	EEG	microvolts	1000.02417960521
BrainVision RDA_68	EEG	microvolts	1000.02417960521
BrainVision RDA_69	EEG	microvolts	1000.02417960521
BrainVision RDA_70	EEG	microvolts	1000.02417960521
BrainVision RDA_71	EEG	microvolts	1000.02417960521
BrainVision RDA_72	EEG	microvolts	1000.02417960521
BrainVision RDA_73	EEG	microvolts	1000.02417960521
BrainVision RDA_74	EEG	microvolts	1000.02417960521
BrainVision RDA_75	EEG	microvolts	1000.02417960521
BrainVision RDA_76	EEG	microvolts	1000.02417960521
BrainVision RDA_77	EEG	microvolts	1000.02417960521
BrainVision RDA_78	EEG	microvolts	1000.02417960521
BrainVision RDA_79	EEG	microvolts	1000.02417960521
BrainVision RDA_80	EEG	microvolts	1000.02417960521
BrainVision RDA_81	EEG	microvolts	1000.02417960521
BrainVision RDA_82	EEG	microvolts	1000.02417960521
BrainVision RDA_83	EEG	microvolts	1000.02417960521
BrainVision RDA_84	EEG	microvolts	1000.02417960521
BrainVision RDA_85	EEG	microvolts	1000.02417960521
BrainVision RDA_86	EEG	microvolts	1000.02417960521
BrainVision RDA_87	EEG	microvolts	1000.02417960521
BrainVision RDA_88	EEG	microvolts	1000.02417960521
BrainVision RDA_89	EEG	microvolts	1000.02417960521
BrainVision RDA_90	EEG	microvolts	1000.02417960521
BrainVision RDA_91	EEG	microvolts	1000.02417960521
BrainVision RDA_92	EEG	microvolts	1000.02417960521
BrainVision RDA_93	EEG	microvolts	1000.02417960521
BrainVision RDA_94	EEG	microvolts	1000.02417960521
BrainVision RDA_95	EEG	microvolts	1000.02417960521
BrainVision RDA_96	EEG	microvolts	1000.02417960521
BrainVision RDA_97	EEG	microvolts	1000.02417960521
BrainVision RDA_98	EEG	microvolts	1000.02417960521
BrainVision RDA_99	EEG	microvolts	1000.02417960521
BrainVision RDA_100	EEG	microvolts	1000.02417960521
BrainVision RDA_101	EEG	microvolts	1000.02417960521
BrainVision RDA_102	EEG	microvolts	1000.02417960521
BrainVision RDA_103	EEG	microvolts	1000.02417960521
BrainVision RDA_104	EEG	microvolts	1000.02417960521
BrainVision RDA_105	EEG	microvolts	1000.02417960521
BrainVision RDA_106	EEG	microvolts	1000.02417960521
BrainVision RDA_107	EEG	microvolts	1000.02417960521
BrainVision RDA_108	EEG	microvolts	1000.02417960521
BrainVision RDA_109	EEG	microvolts	1000.02417960521
BrainVision RDA_110	EEG	microvolts	1000.02417960521
BrainVision RDA_111	EEG	microvolts	1000.02417960521
BrainVision RDA_112	EEG	microvolts	1000.02417960521
BrainVision RDA_113	EEG	microvolts	1000.02417960521
