onset	duration	sample	type	value
33.0352759930537	0	33037	Markers	Experiment start
33.0412758615595	0	33043	Markers	BL start
39.3421377707565	0	39344	Markers	Trial start
39.6691306043237	0	39671	Markers	BP
40.1701196245598	0	40172	Markers	BL start
49.3699180001529	0	49372	Markers	Trial start
49.5969130252899	0	49599	Markers	BP
50.097902045526	0	50100	Markers	BL start
53.2978319152975	0	53300	Markers	Trial start
53.539826611699	0	53542	Markers	BP
54.043815566188	0	54046	Markers	BL start
59.5436950298578	0	59546	Markers	Trial start
59.7696900769104	0	59772	Markers	BP
60.275678987568	0	60278	Markers	BL start
63.4766088354238	0	63479	Markers	Trial start
63.7486028743544	0	63751	Markers	BP
64.254591785012	0	64257	Markers	BL start
73.4543901606051	0	73457	Markers	Trial start
73.7303841118729	0	73733	Markers	BP
74.2323731101933	0	74235	Markers	BL start
78.6322766811292	0	78635	Markers	Trial start
78.9312701283359	0	78934	Markers	BP
79.4332591266563	0	79436	Markers	BL start
85.6331232493386	0	85636	Markers	Trial start
85.8721180114872	0	85875	Markers	BP
93.9429411299015	0	93946	Markers	Experiment start
93.9489409984074	0	93952	Markers	BL start
99.6488160789379	0	99652	Markers	Trial start
99.9068104246882	0	99910	Markers	BP
100.408799423009	0	100412	Markers	BL start
108.709617500813	0	108713	Markers	Trial start
108.96461191231	0	108968	Markers	BP
109.466600910631	0	109470	Markers	BL start
118.066412435642	0	118070	Markers	Trial start
118.353406145837	0	118357	Markers	BP
118.854395166073	0	118858	Markers	BL start
128.054193541666	0	128058	Markers	Trial start
128.267188873623	0	128271	Markers	BP
128.77317778428	0	128777	Markers	BL start
134.973041906962	0	134977	Markers	Trial start
135.234036186966	0	135238	Markers	BP
135.735025207202	0	135739	Markers	BL start
138.834957268543	0	138839	Markers	Trial start
139.275947603721	0	139280	Markers	BP
139.776936623957	0	139781	Markers	BL start
142.475877473492	0	142480	Markers	Trial start
142.777870854952	0	142782	Markers	BP
143.278859875188	0	143283	Markers	BL start
152.478658250781	0	152483	Markers	Trial start
152.763652004808	0	152768	Markers	BP
153.264641025044	0	153269	Markers	BL start
155.964581852664	0	155969	Markers	Trial start
156.268575190292	0	156273	Markers	BP
156.768564232444	0	156773	Markers	BL start
165.968362608037	0	165973	Markers	Trial start
166.230356866124	0	166235	Markers	BP
166.73134588636	0	166736	Markers	BL start
175.032163964165	0	175037	Markers	Trial start
175.265158857807	0	175270	Markers	BP
175.767147856128	0	175772	Markers	BL start
185.066944040151	0	185072	Markers	Trial start
185.328938298239	0	185334	Markers	BP
185.829927318475	0	185835	Markers	BL start
190.929815548423	0	190935	Markers	Trial start
191.194809740764	0	191200	Markers	BP
191.698798695253	0	191704	Markers	BL start
197.398673775783	0	197404	Markers	Trial start
197.661668011955	0	197667	Markers	BP
198.161657054107	0	198167	Markers	BL start
202.661558433473	0	202667	Markers	Trial start
202.930552538151	0	202936	Markers	BP
203.431541558387	0	203437	Markers	BL start
206.831467045019	0	206837	Markers	Trial start
207.123460645636	0	207129	Markers	BP
207.624449665872	0	207630	Markers	BL start
214.423300661052	0	214429	Markers	Trial start
214.645295795767	0	214651	Markers	BP
215.150284728341	0	215156	Markers	BL start
223.451102806145	0	223457	Markers	Trial start
223.675097897029	0	223681	Markers	BP
224.179086851518	0	224185	Markers	BL start
229.578968506757	0	229585	Markers	Trial start
229.841962742929	0	229848	Markers	BP
230.342951763165	0	230349	Markers	BL start
239.442752330328	0	239449	Markers	Trial start
239.713746391174	0	239720	Markers	BP
240.218735323748	0	240225	Markers	BL start
246.919588466666	0	246926	Markers	Trial start
247.187582593259	0	247194	Markers	BP
247.688571613495	0	247695	Markers	BL start
252.087475206347	0	252094	Markers	Trial start
252.331469858917	0	252338	Markers	BP
252.83645879149	0	252843	Markers	BL start
261.937259336737	0	261944	Markers	Trial start
262.16325438379	0	262170	Markers	BP
262.664243404026	0	262671	Markers	BL start
270.664068078455	0	270671	Markers	Trial start
270.895063015929	0	270902	Markers	BP
271.396052036165	0	271403	Markers	BL start
275.794955629017	0	275802	Markers	Trial start
276.036950325418	0	276044	Markers	BP
276.537939345654	0	276545	Markers	BL start
278.736891153038	0	278744	Markers	Trial start
279.001885345378	0	279009	Markers	BP
279.504874321783	0	279512	Markers	BL start
286.203727508533	0	286211	Markers	Trial start
286.481721415969	0	286489	Markers	BP
286.982710436205	0	286990	Markers	BL start
295.783517556161	0	295791	Markers	Trial start
296.003512734708	0	296011	Markers	BP
296.508501667281	0	296516	Markers	BL start
299.308440303332	0	299316	Markers	Trial start
299.595434013527	0	299603	Markers	BP
300.096423033763	0	300104	Markers	BL start
308.396241133483	0	308404	Markers	Trial start
308.625236114788	0	308633	Markers	BP
309.136224915867	0	309144	Markers	BL start
315.435086868896	0	315443	Markers	Trial start
315.656082025527	0	315664	Markers	BP
316.1610709581	0	316169	Markers	BL start
318.661016168859	0	318669	Markers	Trial start
318.94700990097	0	318955	Markers	BP
319.447998921206	0	319456	Markers	BL start
328.647797296799	0	328656	Markers	Trial start
328.952790612512	0	328961	Markers	BP
329.454779610832	0	329463	Markers	BL start
334.954659074502	0	334963	Markers	Trial start
335.19365383665	0	335202	Markers	BP
335.694642856887	0	335703	Markers	BL start
338.894572726658	0	338903	Markers	Trial start
339.138567379228	0	339147	Markers	BP
339.639556399464	0	339648	Markers	BL start
348.739356966627	0	348748	Markers	Trial start
348.968351947933	0	348977	Markers	BP
349.469340968169	0	349478	Markers	BL start
352.769268646371	0	352778	Markers	Trial start
353.051262466144	0	353060	Markers	BP
